Nick                          S34     S33     S32     S31     S30     S29     S28     S27     S26     S25     S24     S23     S22     S21     S20     S19     S18     S17     S16     S15     S14     S13     S12     S11     S10      S9      S8      S7      S6      S5      S4      S3      S2      S1
Dimka                      1646.3  1646.3  1646.3  1646.3  1646.3  1646.3  1646.3  1646.3  1646.4  1646.4  1646.4  1646.4  1646.4  1681.4  1732.8  1699.5  1668.0  1672.9  1677.8  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.7  1682.6
Kubit                      1645.8  1645.8  1645.8  1645.8  1645.8  1645.8  1645.8  1645.8  1645.9  1645.9  1645.9  1645.9  1662.1  1657.0  1651.8  1673.0  1694.2  1715.4  1710.7  1764.9  1764.3  1764.3  1764.3  1764.3  1764.3  1764.3  1764.3  1764.2  1764.2  1764.2  1764.2  1764.2  1764.2  1764.2
Czerminiak                 1631.1  1604.3  1610.4  1597.4  1625.8  1679.6  1706.9  1765.5  1770.0  1785.8  1827.4  1891.7  1931.3  1909.7  1912.9  1950.9  2017.3  2054.8  2049.8  2009.9  2008.9  2039.3  1988.7  2007.5  2026.4  2045.2  2033.7  2033.7  2033.7  2033.7  2033.7  2033.7  2033.7  2033.7
Ohime_                     1621.6  1621.6  1621.6  1621.6  1633.7  1633.1  1661.5  1668.1  1685.6  1670.0  1647.4  1614.7  1647.4  1625.8  1542.6  1521.9  1535.8  1535.8  1535.8  1535.8  1535.8  1535.8  1535.8  1535.8  1535.8  1535.8  1535.9  1535.9  1535.9  1535.9  1535.9  1535.9  1535.9  1535.9
AciuZG                     1613.0  1605.8  1602.4  1644.4  1664.2  1722.3  1799.9  1772.4  1703.8  1724.5  1746.4  1739.0  1688.4  1645.0  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4  1573.4
Kaziko                     1597.2  1597.2  1610.2  1623.2  1647.0  1665.8  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.5  1640.6  1640.6  1640.6  1640.6  1640.6
Alwayssleepy               1581.3  1581.3  1616.7  1643.1  1643.6  1628.0  1617.8  1566.7  1499.2  1461.1  1456.6  1456.5  1456.5  1456.5  1456.5  1456.5  1456.5  1456.5  1456.5  1456.5  1456.5  1456.5  1456.5  1456.6  1456.6  1456.6  1456.6  1456.6  1456.6  1456.6  1456.6  1456.6  1456.6  1456.6
pektezol                   1569.5  1569.5  1569.5  1569.5  1569.5  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7  1591.7
AliakseiVasko              1567.9  1567.9  1567.9  1567.9  1567.9  1567.9  1567.9  1567.9  1567.9  1567.9  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1568.0  1567.9  1567.9  1567.9  1567.9  1567.9  1567.9  1567.9  1567.9  1567.9
HornedRat                  1556.6  1556.6  1556.6  1556.6  1556.6  1556.6  1556.7  1556.7  1556.7  1556.7  1556.7  1556.7  1556.7  1556.7  1556.8  1556.8  1556.8  1556.8  1556.8  1556.8  1569.7  1569.7  1569.7  1569.7  1569.7  1569.7  1569.6  1569.6  1569.6  1569.6  1569.6  1569.6  1569.6  1569.6
leslaw07                   1555.5  1588.4  1572.5  1527.9  1545.9  1583.6  1603.8  1615.0  1668.2  1671.1  1680.0  1636.5  1611.6  1619.9  1657.4  1683.2  1683.2  1683.2  1683.2  1683.2  1683.2  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3  1683.3
ReallyGrid                 1550.4  1565.0  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2  1536.2
Alecbutkowsky              1550.3  1550.3  1550.4  1550.4  1550.4  1550.4  1550.4  1550.4  1550.4  1550.4  1550.4  1550.4  1527.2  1530.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1  1516.1
Lera_Sh                    1544.0  1544.0  1544.0  1544.0  1544.0  1544.0  1544.0  1544.0  1544.0  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7  1519.7
deleted                    1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0  1539.0
Arina                      1531.3  1531.3  1531.3  1531.3  1531.3  1531.3  1569.7  1568.6  1502.1  1480.4  1383.3  1386.7  1417.5  1390.1  1387.3  1425.5  1355.4  1328.4  1281.5  1256.9  1256.9  1256.9  1256.9  1256.9  1256.9  1256.9  1257.0  1257.0  1257.0  1257.0  1257.0  1257.0  1257.0  1257.0
fenris85                   1525.4  1525.4  1525.4  1525.4  1525.4  1525.4  1525.4  1479.1  1470.5  1413.7  1406.7  1399.7  1392.8  1409.0  1409.0  1409.0  1409.0  1409.0  1409.0  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1  1409.1
Joanna                     1524.8  1524.8  1524.8  1524.8  1524.8  1524.8  1557.3  1603.2  1631.4  1661.6  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.7  1633.8  1633.8  1633.8  1633.8  1633.8  1633.8  1633.8
epifania                   1522.0  1522.0  1522.0  1522.0  1522.0  1522.0  1522.0  1522.0  1522.0  1470.1  1505.7  1613.1  1628.2  1592.4  1641.2  1686.6  1732.0  1714.7  1681.3  1647.9  1630.1  1668.8  1668.8  1668.8  1668.8  1668.8  1668.8  1668.8  1668.8  1668.8  1668.8  1668.8  1668.8  1668.8
pawelgo21                  1500.7  1500.7  1500.7  1500.7  1500.7  1500.7  1500.7  1500.7  1500.8  1500.8  1500.8  1500.8  1500.8  1500.8  1500.8  1500.9  1500.9  1500.9  1504.6  1504.6  1504.5  1504.5  1504.5  1504.5  1504.5  1504.5  1504.4  1504.4  1504.4  1504.4  1504.4  1504.4  1504.3  1504.3
Szpur                      1498.9  1488.7  1512.6  1536.5  1504.0  1479.7  1440.6  1446.4  1446.4  1446.4  1446.3  1446.3  1446.3  1446.3  1446.3  1446.3  1446.3  1446.3  1446.3  1446.3  1446.3  1446.3  1446.3  1446.4  1446.4  1446.4  1446.4  1446.4  1446.4  1446.4  1446.4  1446.4  1446.4  1446.4
KrowaMleczna               1482.6  1482.6  1482.6  1482.6  1482.6  1482.6  1482.6  1482.6  1482.6  1482.6  1482.6  1482.6  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.5  1476.4  1476.4  1476.4
Maary                      1480.5  1480.5  1480.5  1480.5  1480.5  1480.5  1480.5  1477.4  1510.4  1496.3  1512.6  1528.1  1501.8  1501.8  1501.8  1501.8  1501.8  1501.8  1501.8  1501.8  1501.8  1501.8  1501.8  1501.8  1501.9  1501.9  1501.9  1501.9  1501.9  1501.9  1501.9  1501.9  1501.9  1501.9
TheStig23F                 1477.3  1477.3  1477.3  1477.3  1477.3  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.2  1477.3  1477.3  1477.3  1477.3  1477.3  1477.3  1477.3
Lunakill                   1474.7  1474.7  1474.7  1484.6  1435.9  1387.2  1407.7  1427.3  1431.4  1435.5  1439.5  1443.6  1447.7  1451.8  1467.8  1483.9  1576.6  1619.4  1662.3  1705.1  1654.4  1606.6  1580.5  1580.5  1580.5  1580.6  1580.6  1580.6  1580.6  1580.7  1580.7  1580.7  1580.7  1580.7
JetBrain                   1452.9  1452.9  1452.9  1452.9  1452.9  1452.9  1452.9  1453.0  1453.0  1453.0  1453.0  1453.0  1453.0  1453.1  1453.1  1453.1  1453.1  1453.1  1453.1  1453.1  1396.0  1396.0  1396.0  1396.0  1395.9  1395.9  1395.9  1395.9  1395.9  1395.9  1395.8  1395.8  1395.8  1395.8
aleks                      1451.9  1451.9  1451.9  1451.9  1451.9  1451.9  1451.9  1451.9  1451.9  1451.9  1451.9  1413.0  1359.7  1333.0  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2  1381.2
denzqq                     1448.8  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.8  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.9  1448.8  1448.8  1448.8  1448.8  1448.8  1448.8  1448.9  1448.9  1448.9  1448.9
Lill                       1443.1  1443.1  1443.1  1443.0  1443.0  1443.0  1443.0  1443.0  1446.1  1443.0  1439.9  1436.8  1433.8  1430.7  1427.6  1424.5  1421.4  1409.2  1373.8  1309.6  1315.7  1278.0  1278.0  1278.0  1278.0  1278.0  1278.0  1278.0  1278.0  1278.0  1278.0  1278.0  1278.0  1278.0
Cra9Hack                   1438.0  1438.0  1452.7  1476.9  1517.8  1560.3  1555.4  1550.5  1545.5  1540.6  1535.7  1530.8  1525.8  1520.9  1516.0  1511.1  1506.2  1501.3  1510.8  1510.8  1510.8  1510.8  1510.8  1510.8  1510.8  1510.8  1510.8  1510.9  1510.9  1510.9  1510.9  1510.9  1510.9  1510.9
Brysandris                 1427.1  1427.1  1427.1  1427.1  1427.1  1381.9  1316.0  1322.9  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.8  1322.9  1322.9  1322.9  1322.9  1322.9  1322.9
kam                        1415.4  1415.4  1415.4  1415.4  1415.4  1415.4  1415.4  1415.4  1415.4  1415.5  1415.5  1415.5  1415.5  1415.5  1415.6  1415.6  1415.6  1398.7  1347.0  1322.2  1279.0  1278.9  1278.9  1278.9  1278.9  1278.9  1278.9  1278.8  1278.8  1278.8  1278.8  1278.8  1278.8  1278.7
Patryk                     1402.1  1402.1  1402.2  1402.2  1402.2  1402.2  1402.2  1402.2  1402.2  1402.2  1402.2  1402.2  1402.2  1432.5  1435.3  1384.7  1370.6  1383.7  1376.0  1384.0  1413.6  1413.6  1413.6  1413.6  1413.6  1413.6  1413.6  1413.6  1413.6  1413.5  1413.5  1413.5  1413.5  1413.5
modran                     1401.6  1438.0  1470.4  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5  1449.5
Pantera730                 1398.8  1358.3  1317.7  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1  1277.1
Erdan                      1396.9  1414.3  1428.8  1443.3  1457.9  1472.4  1486.9  1501.5  1501.5  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.4  1501.5  1501.5  1501.5  1501.5  1501.5  1501.5  1501.5  1501.5  1501.5  1501.5
matoduri                   1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.1  1389.1  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.9  1418.8  1418.8  1418.8  1418.8  1418.8  1418.8  1418.8  1418.8
Parzivalll                 1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1389.0  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9  1388.9
czaszka                    1373.1  1373.1  1373.1  1373.1  1373.2  1373.2  1373.2  1373.2  1373.3  1373.3  1373.3  1373.4  1373.4  1373.4  1373.4  1373.5  1373.5  1373.5  1373.5  1373.4  1373.4  1373.4  1373.4  1373.4  1373.3  1373.3  1373.3  1373.3  1373.2  1373.2  1373.2  1373.2  1373.1  1373.1
Zbychu                     1360.3  1360.3  1360.3  1360.3  1360.2  1360.2  1360.2  1360.2  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3  1353.3
KJKZ                       1349.8  1349.8  1349.8  1349.8  1349.8  1349.8  1349.8  1281.4  1256.0  1274.6  1293.1  1311.7  1330.2  1348.8  1367.3  1385.9  1421.3  1461.7  1485.4  1480.3  1526.7  1526.7  1526.7  1526.7  1526.7  1526.7  1526.7  1526.7  1526.7  1526.7  1526.7  1526.8  1526.8  1526.8
berserk73                  1346.2  1346.2  1346.2  1346.2  1346.2  1346.2  1346.2  1346.2  1346.2  1346.2  1376.6  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2  1401.2
gogeo                      1343.9  1343.9  1343.9  1343.9  1343.9  1343.9  1343.9  1343.9  1343.9  1378.4  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9  1372.9
Woodie                     1336.2  1336.2  1336.2  1336.2  1336.2  1321.2  1345.6  1396.0  1445.6  1447.8  1424.7  1400.7  1376.7  1352.6  1328.6  1304.6  1280.6  1280.6  1280.6  1280.6  1280.6  1280.6  1280.6  1280.6  1280.7  1280.7  1280.7  1280.7  1280.7  1280.7  1280.7  1280.7  1280.8  1280.8
mr271314c                  1334.2  1334.2  1334.2  1334.2  1334.3  1334.3  1334.3  1334.3  1334.3  1334.3  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.4  1334.3  1334.3  1334.3  1334.3  1334.3  1334.3  1334.2  1334.2
ric                        1325.5  1325.5  1325.5  1325.5  1325.6  1325.6  1325.6  1325.6  1325.6  1325.6  1325.6  1325.7  1325.7  1325.7  1328.4  1283.0  1265.5  1234.4  1234.4  1234.4  1234.4  1234.4  1234.3  1234.3  1234.3  1234.3  1234.3  1234.3  1234.2  1234.2  1234.2  1234.2  1234.2  1234.2
Pithpossum                 1297.2  1286.3  1273.8  1255.2  1288.1  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.2  1280.3
Sadafi                     1287.2  1287.2  1287.2  1287.2  1287.2  1287.2  1287.3  1287.3  1287.3  1287.3  1287.3  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7  1297.7
EugeneG                    1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.5  1286.5  1286.5  1286.5  1286.5  1286.5  1286.5  1286.5  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.6  1286.5
picyr                      1281.4  1281.4  1281.4  1281.4  1281.4  1324.5  1323.2  1342.3  1271.5  1274.1  1342.2  1408.9  1424.2  1405.0  1420.2  1465.9  1521.7  1498.1  1486.5  1491.7  1525.8  1578.8  1672.3  1672.3  1672.3  1672.3  1672.3  1672.3  1672.3  1672.4  1672.4  1672.4  1672.4  1672.4
Chaosu                     1271.0  1271.1  1271.1  1271.1  1271.2  1271.2  1271.2  1271.3  1271.3  1271.3  1271.4  1271.4  1271.4  1271.4  1271.4  1271.4  1271.4  1271.4  1271.4  1271.4  1271.4  1271.4  1271.3  1271.3  1271.3  1271.2  1271.2  1271.1  1271.1  1271.1  1271.0  1271.0  1271.0  1271.0
Shai_Hulud                 1249.9  1249.9  1249.9  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0  1250.0
AFKJLH                     1244.7  1244.7  1244.7  1244.7  1244.7  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.6  1244.7  1244.7  1244.7  1244.7
TrebuhPro                  1225.0  1225.0  1225.0  1225.0  1225.0  1225.0  1225.0  1225.0  1252.9  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6  1282.6
Sylwia                     1185.6  1195.6  1174.4  1155.9  1103.4  1114.2  1131.0  1172.0  1254.2  1299.4  1319.4  1279.8  1299.4  1327.1  1374.7  1383.8  1383.7  1346.2  1343.7  1336.8  1324.1  1324.1  1324.2  1324.2  1324.2  1324.2  1324.2  1324.2  1324.3  1324.3  1324.3  1324.3  1324.3  1324.3
Dyoda                      1178.7  1178.7  1178.8  1178.8  1178.8  1178.8  1178.8  1178.8  1178.8  1178.8  1178.9  1178.9  1178.9  1178.9  1209.4  1252.7  1279.9  1306.7  1346.2  1363.3  1367.1  1376.2  1376.1  1376.1  1376.1  1376.1  1376.1  1376.1  1376.0  1376.0  1376.0  1376.0  1376.0  1376.0
Olinime                    1177.9  1160.4  1142.9  1125.4  1107.8  1100.1  1067.1  1039.1  1039.1  1039.1  1039.0  1039.0  1039.0  1038.9  1038.9  1038.9  1038.9  1038.9  1038.9  1039.0  1039.0  1039.0  1039.1  1039.1  1039.1  1039.1  1039.1  1039.2  1039.2  1039.2  1039.3  1039.3  1039.3  1039.3
Doe12                      1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9  1167.9
Ailkai                     1162.6  1162.6  1162.6  1162.6  1162.6  1162.6  1162.6  1162.6  1179.0  1172.9  1152.5  1095.1  1095.1  1095.1  1095.1  1095.1  1095.1  1095.1  1095.0  1095.0  1095.0  1095.0  1095.0  1095.1  1095.1  1095.1  1095.1  1095.1  1095.1  1095.1  1095.1  1095.1  1095.1  1095.1
janusz                     1157.4  1168.2  1199.5  1208.0  1233.6  1267.9  1314.0  1331.6  1354.1  1428.8  1475.9  1535.1  1500.2  1533.9  1503.6  1528.0  1549.0  1574.8  1578.5  1581.5  1641.5  1691.9  1725.4  1725.4  1725.4  1725.4  1725.4  1725.4  1725.4  1725.4  1725.4  1725.4  1725.4  1725.4
saunter                    1135.2  1135.2  1135.2  1135.2  1084.5  1012.2   969.2   959.2   959.2   959.2   959.2   959.2   959.2   959.2   959.1   959.1   959.1   959.1   959.1   959.1   959.1   959.1   959.2   959.2   959.2   959.2   959.2   959.2   959.2   959.2   959.2   959.3   959.3   959.3
rampichino                 1115.8  1115.8  1115.8  1115.9  1115.9  1115.9  1115.9  1116.0  1116.0  1116.0  1116.0  1116.1  1116.1  1116.1  1116.1  1116.1  1116.1  1116.1  1116.1  1116.1  1116.1  1116.0  1116.0  1116.0  1115.9  1115.9  1115.9  1115.8  1115.8  1115.8  1115.8  1115.8  1115.8  1115.7
hckr                       1111.2  1133.8  1137.8  1175.0  1196.1  1186.7  1177.4  1168.0  1178.7  1167.5  1145.0  1116.1  1088.6  1052.5  1052.5  1052.5  1052.5  1052.5  1052.5  1052.5  1052.5  1052.5  1052.5  1052.5  1052.5  1052.6  1052.6  1052.6  1052.6  1052.6  1052.6  1052.6  1052.6  1052.6
bodhi                      1110.4  1110.4  1110.4  1110.4  1110.4  1110.4  1110.4  1110.4  1094.2  1132.2  1133.7  1166.6  1202.1  1245.8  1267.1  1260.2  1253.4  1268.6  1303.3  1315.6  1338.9  1350.1  1350.1  1350.1  1350.1  1350.1  1350.1  1350.1  1350.1  1350.1  1350.1  1350.1  1350.1  1350.1
HabaneroKiwi               1079.7  1079.7  1079.7  1079.7  1079.7  1079.8  1079.8  1079.8  1079.8  1079.8  1079.9  1079.9  1079.9  1079.9  1079.9  1080.0  1080.0  1076.5  1084.0  1084.0  1084.0  1084.0  1084.0  1083.9  1083.9  1083.9  1083.9  1083.8  1083.8  1083.8  1083.8  1083.8  1083.7  1083.7
Pan_Bubr                   1078.4  1078.4  1078.4  1078.4  1078.4  1078.4  1078.4  1078.4  1078.4  1052.1  1052.1  1052.1  1052.1  1052.0  1052.0  1052.0  1052.0  1052.0  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1  1052.1
Tomko                      1018.7  1018.7  1018.7  1018.7  1018.7  1018.7  1018.7  1018.7  1018.7  1018.7  1046.2  1073.7  1094.3  1108.4  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.6  1094.7  1094.7
JonnyRyder                  990.7   990.7   990.8   990.8   990.9   990.9   991.0   991.0   991.1   991.1   991.2   991.2   991.3   991.3   991.3   991.3   991.3   991.3   991.3   991.3   991.2   991.2   991.1   991.1   991.0   991.0   990.9   990.8   990.8   990.7   990.7   990.6   990.6   990.6
Gandalf                     990.2   990.3   990.3   990.3   990.3   990.3   990.4   990.4   990.4   990.4   990.4   990.5   990.5   990.5   990.5   990.5   990.5   990.5   990.5   990.5   990.5   990.4   990.4   990.4   990.4   990.3   990.3   990.3   990.3   990.3   990.2   990.2   990.2   990.2
Polymorph                   986.3   986.3   986.3   986.3   986.4   986.4   986.5   986.5   986.5   986.5   986.5   986.5   986.5   986.6   986.6   986.6   986.6   986.6   986.6   986.6   986.6   986.6   986.6   986.6   986.5   986.5   986.4   986.4   986.4   986.4   986.4   986.3   986.3   986.3
zetlen                      981.1   981.1   981.1   981.1   981.2   981.2   981.2   981.2   981.3   981.3   981.3   981.4   981.4   981.4   981.4   981.4   981.4   981.5   977.2   977.2   977.2   977.2   977.1   977.1   977.1   977.1   977.1   977.0   977.0   977.0   977.0   976.9   976.9   976.9
UndeswardLicht              961.8   961.8   972.5   970.3   963.1   955.8   948.5   941.3   933.0   933.0   932.9   932.9   932.9   932.9   932.9   932.9   932.9   932.9   932.9   932.9   932.9   932.9   932.9   933.0   933.0   933.0   933.0   933.1   933.1   933.1   933.1   933.1   933.2   933.2
Mona258                     957.3   957.3   957.3   957.3   957.4   957.4   957.4   957.4   957.4   957.5   957.5   957.5   957.5   957.6   957.6   957.6   957.6   957.6   957.6   971.3   971.3   971.2   971.2   971.2   971.2   971.2   971.1   971.1   971.1   971.1   971.0   971.0   971.0   971.0
wisza57                     932.2   955.9   981.6   971.4  1004.4  1059.2  1132.0  1166.3  1166.3  1166.3  1166.2  1166.2  1166.2  1166.2  1166.2  1166.2  1166.2  1166.2  1166.2  1166.2  1166.2  1166.2  1166.2  1166.3  1166.3  1166.3  1166.3  1166.3  1166.4  1166.4  1166.4  1166.4  1166.4  1166.4
pjur                        891.9   891.9   891.9   891.9   892.0   892.0   892.0   892.0   892.0   892.1   892.1   892.1   892.1   892.1   892.1   892.1   892.1   892.1   892.1   892.1   892.1   892.1   892.0   892.0   892.0   892.0   891.9   891.9   891.9   891.9   891.9   891.8   891.8   891.8
SensainaKibo89              887.0   887.0   887.0   887.0   887.1   887.1   887.1   887.1   887.1   887.1   887.1   888.4   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.4   884.4   884.4   884.4   884.4   884.4   884.4   884.4
Yillaplay                   886.7   886.6   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.3   864.2   864.2
Adenauer                    871.9   871.9   860.7   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.7   860.7   860.7   860.7   860.7   860.7   860.7   860.7   860.7   860.7   860.7   860.7   860.7
MT2049                      839.1   832.7   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9   833.9
MiJi77                      835.4   835.4   835.5   835.5   835.6   835.6   835.7   835.7   835.8   835.8   835.9   835.9   835.9   836.0   836.0   836.0   836.0   836.0   836.0   835.9   835.9   835.8   835.8   835.8   835.7   835.6   835.6   835.5   835.5   835.4   835.4   835.3   835.3   835.3
Yorifumi                    816.0   816.0   816.0   813.1   810.2   806.4   790.6   775.0   763.9   763.9   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.8   763.9   763.9   763.9   763.9   763.9   763.9   763.9   764.0   764.0
